"path","lines","classes[0].name","classes[0].functions.length"
"public/health.php",3,,
"public/index.php",11,,
"public/maintenance.php",31,,
"readme/StyleGuidePHP.php",37,"StyleGuidePHP",4
"tests/bootstrap.php",7,,
"toolbelt/StockBlocksContext.php",28,"StockBlocksContext",5
"toolbelt/ToolbeltApplication.php",63,"ToolbeltApplication",0
".git/hooks/git-hooks.php",8,,
".git/hooks/pre-push-phinx.php",106,"PhinxGitPrePushHook",11
"Lib/Mvc/MvcStartup.php",19,"MvcStartup",3
"Lib/ThirdParty/CreditCardGenerator.php",60,"CreditCardGenerator",6
"MicroServices/Billboard/Billboard.php",107,"Billboard",28
"MicroServices/Billboard/BillboardProvider.php",4,,
"MicroServices/Billboard/BillboardService.php",122,"BillboardService",12
"MicroServices/Billboard/BillboardTrait.php",7,,
"MicroServices/Client/ApiClient.php",143,"ApiClient",12
"MicroServices/Client/ApiClientConfiguration.php",26,"ApiClientConfiguration",6
"MicroServices/Client/ApiClientResponse.php",23,"ApiClientResponse",5
"MicroServices/Client/BadRequestException.php",8,"BadRequestException",1
"MicroServices/Client/NotFoundException.php",8,"NotFoundException",1
"MicroServices/RiskDetection/CvvAvsRiskProfilingService.php",65,"CvvAvsRiskProfilingService",7
"MicroServices/RiskDetection/MemberPaymentTransactionRiskProfileService.php",74,"MemberPaymentTransactionRiskProfileService",7
"MicroServices/RiskDetection/NewMemberRiskDetectionService.php",40,"NewMemberRiskDetectionService",5
"MicroServices/RiskDetection/UserLeadRiskDetectionService.php",40,"UserLeadRiskDetectionService",5
"autotest/scripts/parallel-runner.php",237,,
"docs/command-runners/AssetProcessor.php",49,"AssetProcessor",4
"docs/command-runners/Composer.php",15,"Composer",3
"docs/command-runners/DockerCompose.php",6,"DockerCompose",1
"docs/command-runners/Git.php",28,"Git",6
"docs/command-runners/Phinx.php",93,"Phinx",8
"docs/command-runners/StockBlocksCommandRunner.php",59,"StockBlocksCommandRunner",6
"docs/hooks/GitHookCommand.php",26,"GitHookCommand",3
"docs/hooks/GitHookComposerCommand.php",12,"GitHookComposerCommand",2
"docs/hooks/GitHookPhinxCommand.php",40,"GitHookPhinxCommand",5
"docs/hooks/PostCheckoutStockBlocks.php",36,"PostCheckoutStockBlocks",3
"docs/hooks/PreFlowHotfixFinishPhinx.php",87,"PreFlowHotfixFinishPhinx",8
"docs/hooks/PrePushPhinx.php",68,"PrePushPhinx",3
"scripts/audioblocks/AudioSiteMapScript.php",8,,
"scripts/audioblocks/BeatDetector.php",39,"BeatDetectorException",4
"scripts/audioblocks/GenerateAudioDetailsCSV.php",42,"GenerateAudioDetailsCSV",1
"scripts/audioblocks/GenerateAudioDetailsCSVScript.php",6,,
"scripts/audioblocks/GenerateAudioThumbnails.php",57,"GenerateAudioThumbnails",2
"scripts/audioblocks/GenerateAudioThumbnailsScript.php",13,,
"scripts/audioblocks/ProcessAuthNetCSV.php",37,,
"scripts/audioblocks/ProcessLimelightCSV.php",50,,
"scripts/audioblocks/SyncAccountsWithVb.php",6,,
"scripts/audioblocks/mp3.class.php",253,"mp3file",27
"scripts/common/LoadCollection.php",89,,
"scripts/common/LoadStockReleaseFormStockItems.php",46,,
"scripts/common/backfillCioData.php",8,,
"scripts/common/backpopulateEntLibrary.php",28,,
"scripts/common/generateStockItemTitleUniqueKeywords.php",34,,
"scripts/common/resqueWorkerSpeedTest.php",38,,
"scripts/common/serverInfo.php",9,,
"scripts/common/testCurl.php",19,,
"scripts/composer/GitHooks.php",68,"GitHooks",6
"scripts/graphicstock/GSSearch.php",24,"(",2
"scripts/graphicstock/GraphicSiteMapScript.php",8,,
"scripts/misc/UpdateCIOWithPremiumFreeTrialMemberAttributes.php",33,,
"scripts/phinx/recreate_test_db.php",34,,
"scripts/phinx/update_timestamps.php",20,,
